doc_id	title	author_id	first_name	surname_prefix	surname	full_name	birth_year	death_year	year_of_publication
hase002waar01	Waarheid en droomen (onder pseudoniem Jonathan)	hase002	J.P.		Hasebroek	Hasebroek, J.P.	1812.0	1896.0	1840
sche034drog01	Drogon	sche034	Arthur	van	Schendel	Schendel, Arthur van	1874.0	1946.0	1896
love002land01	Het land der verbeelding	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1888
woud008haar02	Hare roeping getrouw	woud008	Johanna	van	Woude	Woude, Johanna van	1853.0	1904.0	1879
savo001leve01	Levens-ernst	savo001	Anna	de	Savornin Lohman	Savornin Lohman, Anna de	1868.0	1930.0	1897
savo001eene01	Het ééne noodige	savo001	Anna	de	Savornin Lohman	Savornin Lohman, Anna de	1868.0	1930.0	1897
jong063hild01	Hilda van Suylenburg	jong063	Cécile	de	Jong van Beek en Donk	Jong van Beek en Donk, Cécile de	1866.0	1944.0	1897
bosb002lang01	Langs een omweg	bosb002	A.L.G.		Bosboom-Toussaint	Bosboom-Toussaint, A.L.G.	1812.0	1886.0	1878
brin017mada01	Madame de Fontenay	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1897
love002made01	Madeleine	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1897
lapi001vrij01	Vrij?	lapi001	Frits		Lapidoth	Lapidoth, Frits	1861.0	1932.0	1897
coup002meta01	Metamorfoze	coup002	Louis		Couperus	Couperus, Louis	1863.0	1923.0	1897
huyg004bart01	Barthold Meryan	huyg004	Cornélie		Huygens	Huygens, Cornélie	1848.0	1902.0	1897
penn006held04	De helden van Zuid-Afrika	penn006	Louwrens		Penning	Penning, Louwrens	1854.0	1927.0	1897
witm001drif02	Driftkopje	witm001	Tine	van	Berken	Berken, Tine van	1870.0	1899.0	1897
schi018sinj01	Sinjeur Semeyns	schi018	H.J.		Schimmel	Schimmel, H.J.	1823.0	1906.0	1875
oord002mooi01	Mooi Annie of de schipbreukelinge	oord002	Joan Frederik	van	Oordt	Oordt, Joan Frederik van	1856.0	1918.0	1898
busk001joze01	Jozefine	busk001	Cd.		Busken Huet	Busken Huet, Cd.	1826.0	1886.0	1898
bore002jong01	Het jongetje	bore002	Henri		Borel	Borel, Henri	1869.0	1933.0	1898
busk001robe01	Robert Bruce's leerjaren	busk001	Cd.		Busken Huet	Busken Huet, Cd.	1826.0	1886.0	1898
seip002immo01	Een immortellenkrans. Laatste novellen	seip002	Emile		Seipgens	Seipgens, Emile	1837.0	1896.0	1898
moul022alle01	Allegro (onder ps. Else van Brabant)	moul022	E.J.	de	Moulin-van Harlingen	Moulin-van Harlingen, E.J. de	1864.0		1898
bosb002prin02	De prinses Orsini en Maria van Oosterwijk	bosb002	A.L.G.		Bosboom-Toussaint	Bosboom-Toussaint, A.L.G.	1812.0	1886.0	1843
jaeg007toga01	Toga en degen	jaeg007	W.		Jaeger	Jaeger, W.			1899
hich002oeho01	Oehoehoe I. Hoe een kleine kafferjongen page bij den koning werd	hich002	Nynke	van	Hichtum	Hichtum, Nynke van	1860.0	1939.0	1899
reyn008hart02	Hartstocht	reyn008	Jeanne		Reyneke van Stuwe	Reyneke van Stuwe, Jeanne	1874.0	1951.0	1899
